Target,Model,MAE,RMSE,R2
Heating,LinearRegression,2.182072996153897,3.025426853510372,0.9121846294352439
Heating,RandomForest,0.35731331168831126,0.4976232610633259,0.9976242618619537
Heating,DeepLearning,1.646084171171312,2.281449197017893,0.9500634162211514
Cooling,LinearRegression,2.1952952105158743,3.1453819558114193,0.8932255268607289
Cooling,RandomForest,1.0872373376623325,1.7557700913331689,0.9667297588597576
Cooling,DeepLearning,1.861796234923524,2.5335141417391855,0.9307264696841722
